sequence_id	cluster_id
iNat1038153_Collybia_nuda	cluster_1
iNat18667795_Collybia_nuda	cluster_1
iNat37350758_Collybia_nuda	cluster_1
iNat85170374_Collybia_nuda	cluster_1
iNat103710064_Collybia_nuda	cluster_1
iNat104477655_Collybia_nuda	cluster_1
iNat122263084_Collybia_nuda	cluster_1
iNat147310205_Collybia_nuda	cluster_1
iNat147479888_Collybia_nuda	cluster_1
iNat152804250_Collybia_nuda	cluster_1
iNat166371292_Collybia_nuda	cluster_1
iNat191131562_Collybia_nuda	cluster_1
iNat194408029_Collybia_nuda	cluster_1
iNat197492671_Collybia_nuda	cluster_1
iNat217173276_Collybia_nuda	cluster_1
iNat250620598_Collybia_nuda	cluster_1
iNat252822046_Collybia_nuda	cluster_1
iNat254481034_Collybia_nuda	cluster_1
iNat256895186_Collybia_nuda	cluster_1
iNat265618053_Collybia_nuda	cluster_1
iNat8543068_Collybia_nuda	cluster_2
iNat8546033_Collybia_nuda	cluster_2
iNat8590216_Collybia_nuda	cluster_2
iNat17904403_Collybia_nuda	cluster_2
iNat22969941_Collybia_nuda	cluster_2
iNat38368221_Collybia_nuda	cluster_2
iNat39546019_Lepista_nuda	cluster_2
iNat62249850_Collybia_nuda	cluster_2
iNat91477893_Collybia_nuda	cluster_2
iNat98721885_Collybia_nuda	cluster_2
iNat98881746_Collybia_nuda	cluster_2
iNat125859163_Collybia_nuda	cluster_2
iNat136435971_Collybia_nuda	cluster_2
iNat136759947_Collybia_nuda	cluster_2
iNat139243106_Collybia_nuda	cluster_2
iNat139243502_Collybia_nuda	cluster_2
iNat143627399_Collybia_nuda	cluster_2
iNat143631809_Collybia_nuda	cluster_2
iNat143928916_Collybia_nuda	cluster_2
iNat145907938_Collybia_nuda	cluster_2
iNat146064631_Collybia_nuda	cluster_2
iNat149576126_Collybia_nuda	cluster_2
iNat185287303_Collybia_nuda	cluster_2
iNat185843253_Collybia_nuda	cluster_2
iNat185921821_Collybia_nuda	cluster_2
iNat185923391_Collybia_nuda	cluster_2
iNat185996591_Collybia_nuda	cluster_2
iNat186122818_Collybia_nuda	cluster_2
iNat186361998_Collybia_nuda	cluster_2
iNat187480116_Collybia_nuda	cluster_2
iNat187654791_Collybia_nuda	cluster_2
iNat187656943_Collybia_nuda	cluster_2
iNat187930399_Collybia_nuda	cluster_2
iNat188305604_Collybia_nuda	cluster_2
iNat188329950_Collybia_nuda	cluster_2
iNat188605086_Collybia_nuda	cluster_2
iNat188611146_Collybia_nuda	cluster_2
iNat189173820_Collybia_nuda	cluster_2
iNat189184834_Collybia_nuda	cluster_2
iNat189184835_Collybia_nuda	cluster_2
iNat189304498_Collybia_nuda	cluster_2
iNat189373043_Collybia_nuda	cluster_2
iNat189613993_Collybia_nuda	cluster_2
iNat190125488_Collybia_nuda	cluster_2
iNat190274360_Collybia_nuda	cluster_2
iNat193084867_Collybia_nuda	cluster_2
iNat193765602_Collybia_nuda	cluster_2
iNat194975696_Collybia_nuda	cluster_2
iNat195110320_Collybia_nuda	cluster_2
iNat195804856_Collybia_nuda	cluster_2
iNat237155697_Collybia_nuda	cluster_2
iNat244836001_Collybia_nuda	cluster_2
iNat246402025_Collybia_nuda	cluster_2
iNat247031864_Collybia_nuda	cluster_2
iNat248365241_Collybia_nuda	cluster_2
iNat248774105_Collybia_nuda	cluster_2
iNat249568181_Collybia_nuda	cluster_2
iNat251463258_Collybia_nuda	cluster_2
iNat251465917_Collybia_nuda	cluster_2
iNat251686837_Collybia_nuda	cluster_2
iNat252351885_Collybia_nuda	cluster_2
iNat256851804_Collybia_nuda	cluster_2
iNat257382103_Collybia_nuda	cluster_2
iNat4749079_Collybia_nuda	cluster_3
iNat67635733_Clitocybe_violaceifolia	cluster_3
iNat197928507_Clitocybe_violaceifolia	cluster_3
iNat187718525_Collybia_nuda	singleton
iNat18361287_Collybia_nuda	singleton
iNat135956625_Collybia_nuda	singleton
iNat189186230_Collybia_nuda	singleton
iNat187709356_Collybia_nuda	singleton
